version	id	title	url	purpose	outline	functionality	type	seo_role	seo_parent	seo_keyword
In Progress (v3)	C-Transparent	Transparent Header		Non-sticky header over the Home hero	Announcement Bar ["Delivers Worldwide. Free Global Shipping over $250"] // Hamburger Icon <opens C-Menu> | White Square Logo <to /, oversized — overflows below the header> | Cart Icon <opens C-Cart>	Home only; transparent and non-sticky; scrolls away with the page				
In Progress (v3)	C-Sticky	Sticky Header		Solid sticky header on every screen	Announcement Bar ["Delivers Worldwide. Free Global Shipping over $250"] // Hamburger Icon <opens C-Menu> | Dark Symbol Logo <to /> | Cart Icon <opens C-Cart>	Sticky on every screen; on Home takes over after 60vh of scroll				
In Progress (v3)	C-Menu	Menu Drawer		Site menu from the hamburger	Dark Symbol Logo <to /> // "Shop Now" / Link <to /corset-tops> ["Corset Tops"] / Link <to /matching-sets> ["Matching Sets"] / Link <to /cocktail-dresses> ["Cocktail Dress"] / Link <to /shop> ["Shop All"] // Link <to /about> ["Our Story"] / Link <to /contact> ["Contact Us"] / Account Link <to Shopify account> ["Login/Account"]					
In Progress (v3)	C-Cart	Cart Drawer		Cart drawer from the header icon	"Your Cart" // Line Items <image, name, options, qty stepper, price, remove> // Subtotal <cart total> // Btn ["Checkout"] / "Checkout securely in USD, powered by Shopify"	Changing an item's quantity or removing it updates the cart and subtotal; checkout opens Shopify's hosted checkout; shows an empty state when the cart is empty				
In Progress (v3)	C-Footer	Footer		Site footer	(("Shop & Learn" / Link <to /corset-tops> ["Corset Tops"] / Link <to /matching-sets> ["Matching Sets"] / Link <to /cocktail-dresses> ["Cocktail Dress"] / Link <to /shop> ["Shop All"]) | ("More Information" / Link <to /about> ["Our Story"] / Link <to /contact> ["Contact"] / Link <to /shipping-returns> ["Shipping & Returns"]) | ("Connect with Us" / (Instagram Icon <to Instagram> + Facebook Icon <to Facebook> + TikTok Icon <to TikTok>))) // ("© SHER {year}" | (Link <to /privacy-policy> ["Privacy Policy"] + Link <to /terms-of-service> ["Terms of Service"]))					
In Progress (v3)	S-001	Home	/	Brand entry point	Hero Carousel <featured banners with text overlay> // "Eyebrow: Refined Sensuality" / "H1: Modern Womenswear by SHER" // (Image Link <to /corset-tops> ["H2: View Corset Tops"] | Image Link <to /matching-sets> ["H2: View Matching Sets"]) / (Image Link <to /cocktail-dresses> ["H2: View Cocktail Dresses"] | Image Link <to /shop> ["H2: View All Products"]) // "H2: Featured Products" / (Image Link <to product> [Title <product name>] | Image Link <to product> [Title <product name>]) // "H2: Made to Be Seen" / Subtitle <closing CTA into the shop-all button; subtly emphasize on owning the room> / Btn <to /shop>	Sliding hero carousel | hero banners, category images, and product images come from D-xxx Home content in repo config (slot placement + image + overlay text + link)	Home	Pillar		SHER
In Progress (v3)	S-002	Shop	/shop	Product listing hub	Breadcrumb <Home › Shop> / "H1: Shop Modern Womenswear by SHER" / Subtitle <corset tops, matching sets, and cocktail dresses — sensual, refined, all made to be seen> / Button Pills <links to /shop/corset-tops, /shop/matching-sets & /shop/cocktail-dresses> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop>	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/	SHER shop
In Progress (v3)	S-003	Shop Corset Tops	/shop/corset-tops	Corset commerce category	Breadcrumb <Shop › Corset Tops> / "H1: Shop Corset Tops" / Subtitle <corset tops range intro; the two closures — Lace Closure is more adjustable, Zip Closure is easier to wear> / Button Pills <filter by closure type> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Corset Tops" / Paragraph <corset tops made by hand> / Btn <to /corset-tops>)	In-place attribute filter (closure type) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/corset-tops	shop corset tops
In Progress (v3)	S-004	Shop Matching Sets	/shop/matching-sets	Matching sets commerce category	Breadcrumb <Shop › Matching Sets> / "H1: Shop Matching Sets" / Subtitle <matching sets range intro; Skirt Set for a softer, feminine line — Trouser Set for a sharp, sleek one> / Button Pills <filter by set type> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Matching Sets" / Paragraph <matching sets, made to be seen> / Btn <to /matching-sets>)	In-place attribute filter (set type) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/matching-sets	shop matching sets
In Progress (v3)	S-005	Shop Cocktail Dresses	/shop/cocktail-dresses	Cocktail dresses commerce category	Breadcrumb <Shop › Cocktail Dresses> / "H1: Shop Cocktail Dresses" / Subtitle <cocktail dresses range intro; Mini for a bold short look — Midi for easy elegance — Maxi for a long evening statement> / Button Pills <filter by length> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Cocktail Dresses" / Paragraph <cocktail dresses, made to be seen> / Btn <to /cocktail-dresses>)	In-place attribute filter (length) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/cocktail-dresses	shop cocktail dresses
In Progress (v3)	S-006	Product Detail	/products/[product-slug]	Individual product page	Media Gallery <thumbnail strip + main image> | (Breadcrumb <Shop › {Category} (to /shop/{category}) › product> / Title <product name> / Price <product price> / Color Selector <image thumbnails per color> / Size Selector <available sizes> / (Quantity Selector <qty> + Btn ["Add to Cart"] + Btn ["Buy Now"]) / (Paragraph <product description> + Type Attribute <closure type for corsets, set type for matching sets, length for cocktail dresses>) / (Link <opens C-Sizing> + Link <opens C-Shipping>)) // ("H2: You May Also Like" / Subtitle <Browse or learn more> / (Btn <to /shop/{category}> ["Back to {Category}"] + Btn <to /{category}> ["More about {Category}"])) | Product Grid <2 random products from the same category>	Media gallery — a thumbnail sets the main image, a color jumps to its variant image | Breadcrumb truncates the product name with an ellipsis on small screens; full name stays in the markup | Add to Cart opens C-Cart | Buy Now goes to Shopify checkout | Out-of-stock sizes and colors disabled; when all are sold out, the buy buttons swap to a Preorder link (to /contact)	Product	Cluster	/{category}	
In Progress (v3)	C-Sizing	Size Chart Drawer		Size chart on the product page	"Size Chart" / Title <product name> / Paragraph <the size guide is measurements-based and varies by style; each piece can be tailored for a perfect fit. Reach out if unsure> / Measurements <in cm> / Measurements <in inches>	Renders only the measurements a product defines; one it omits (e.g., no Hip on a corset top) is left out of the table. Inches table auto-calculated from the cm measurements; cm measurements come from a size-chart TSV in repo config				
In Progress (v3)	C-Shipping	Shipping & Returns Drawer		Shipping & returns on the product page	(same as /shipping-returns)					
In Progress (v3)	S-007	Corset Tops	/corset-tops	Information-first SEO pillar competing for corset head term	"H1: Corset Tops: Built by Hand for the Modern Woman" / Subtitle <what makes a SHER corset top — handcrafted structure, refined silhouette> / Btn <to /shop/corset-tops> // ("Eyebrow: What is a Corset Top?" / "H2: Structured Boning That Commands the Silhouette" / Paragraph <what defines a corset top>) | Image // Image | ("Eyebrow: How is SHER different?" / "H2: Each Bone Set by Hand, Not by Machine" / Paragraph <hand-set boning>) // "Eyebrow: Pick your Corset Closure Type" / "H2: Each Corset Closure Designed for a Different Priority" / (Image ["H3: Lace Closure: Adjustable Fit" / Paragraph <lace closure: adjustable fit>] | Image ["H3: Zip Closure: Effortless to Wear" / Paragraph <zip closure: effortless>]) // Image | ("Eyebrow: Quality from Inside Out" / "H2: Built with High Quality Fabrics, Materials and Craft" / Paragraph <fabrics, materials, and craft — including satin lining and lace>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a corset top?" / Paragraph <bust, waist, hip, length; bust matters most; match to the size chart> / "H3: How should a corset top fit?" / Paragraph <firm but never painful, no gap at top edge or waist> / "H3: What if I am between sizes?" / Paragraph <size up, since it can be taken in but not let out; lace can cinch further> / "H3: How do I care for my corset top?" / Paragraph <hand wash or dry clean; defer to the care label> / "H3: How do I style a corset top?" / Paragraph <wear it as the centerpiece with simple pieces> / "H3: Should I choose a Lace or Zip Closure?" / Paragraph <pick by preference, since the fit is the same; lace adjusts and forgives, zip is fixed but easy to wear>]	one item open at a time	Information	Pillar		corset top (secondary: corset tops, lace corset top, lace up corset top, zip up corset top, satin corset top)
In Progress (v3)	S-008	Matching Sets	/matching-sets	Information-first SEO pillar competing for matching sets and co-ord head terms	"H1: Matching Sets: The Co-Ord, Made to Be Seen" / Subtitle <what makes a SHER matching set — two coordinated pieces, cut to sit together> / Btn <to /shop/matching-sets> // ("Eyebrow: What is a Matching Set?" / "H2: One Look, Two Pieces That Belong Together" / Paragraph <what defines a matching set — also called a co-ord or two-piece set>) | Image // Image | ("Eyebrow: How is SHER different?" / "H2: Cut to Sit Right Together" / Paragraph <how SHER makes its sets>) // "Eyebrow: Pick your Matching Set Type" / "H2: Each Set Built for a Different Look" / (Image ["H3: Skirt Set: A Matching Top and Skirt" / Paragraph <skirt set>] | Image ["H3: Trouser Set: A Matching Top and Trousers" / Paragraph <trouser set>]) // Image | ("Eyebrow: Quality from Inside Out" / "H2: Built with High Quality Fabrics, Materials and Craft" / Paragraph <fabrics, materials, craft>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a matching set?" / Paragraph <bust, waist, hip, length of each piece; waist matters most; match to the size chart> / "H3: How should a matching set fit?" / Paragraph <top feels firm; bottom sits at the natural waist, which can vary by style; the hems should meet> / "H3: What if I am between sizes?" / Paragraph <size up the top, since it can be taken in but not let out> / "H3: How do I care for my matching set?" / Paragraph <hand wash, machine wash, or dry clean by fabric; wash both pieces together so they fade evenly; defer to the care label> / "H3: How do I style a matching set?" / Paragraph <wear both pieces together as one look; keep accessories minimal> / "H3: Can I buy the top and bottom on their own?" / Paragraph <sold only as a pair; designed to be worn together>]	one item open at a time	Information	Pillar		matching sets (secondary: matching set, co-ords, two piece set, matching top and trousers set, matching skirt and top set)
In Progress (v3)	S-009	Cocktail Dresses	/cocktail-dresses	Information-first SEO pillar competing for the cocktail dress head term	"H1: Cocktail Dresses: Elegant Dresses for Evenings & Occasions" / Subtitle <what makes a SHER cocktail dress — sensual, refined, cut to be seen> / Btn <to /shop/cocktail-dresses> // ("Eyebrow: What is a Cocktail Dress?" / "H2: The Dress You Wear to Be Remembered" / Paragraph <what defines a cocktail dress>) | Image // Image | ("Eyebrow: How is SHER different?" / "H2: Sensual Without Looking Cheap" / Paragraph <how SHER makes its dresses>) // "Eyebrow: Pick your Length" / "H2: Each Length Built for a Different Moment" / (Image ["H3: Mini: Short and Striking" / Paragraph <mini length>] | Image ["H3: Midi: Refined and Versatile" / Paragraph <midi length>] | Image ["H3: Maxi: Long and Commanding" / Paragraph <maxi length>]) // Image | ("Eyebrow: Quality from Inside Out" / "H2: Built with High Quality Fabrics, Materials and Craft" / Paragraph <fabrics, materials, craft>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a cocktail dress?" / Paragraph <take bust, waist, hip, length; size on the largest number> / "H3: How should a cocktail dress fit?" / Paragraph <skim the body, not grip; no horizontal creases> / "H3: What if I am between sizes?" / Paragraph <size up, then take in the waist> / "H3: How do I care for my cocktail dress?" / Paragraph <hand wash or dry clean; never wring satin; defer to the care label> / "H3: How do I style a cocktail dress?" / Paragraph <dress leads with a strong accessory; match the shoe to the hem> / "H3: What do I wear a cocktail dress to?" / Paragraph <dressy events below black tie; cocktail attire means this dress>]	one item open at a time	Information	Pillar		cocktail dresses (secondary: cocktail dress, cocktail party dress, elegant cocktail dress, midi cocktail dress, mini cocktail dress)
In Progress (v3)	S-010	About Us	/about	Brand introduction	"Eyebrow: About Us" / "H1: Our SHER Brand" / Paragraph <SHER's mission: sensuality that elevates, handcrafted piece by piece> // Image | ("Eyebrow: Our Philosophy" / "H2: Sensuality That Elevates" / Paragraph <how SHER frames sensuality as elevating>) // ("Eyebrow: Meet the Founder" / "H2: The Woman Behind It, Sherilyn" / Paragraph <the founder's story>) | Image		Utility	Supporting		SHER brand
In Progress (v3)	S-011	Contact	/contact	Customer contact	"H1: Contact Us" / Subtitle <how to reach SHER for orders, press, or support> // "H2: Direct Message - For the fastest response" / Social Messaging Links <IG, FB, TikTok> // "H2: Email - For business inquiries" / Email Contact <contact email> // "H2: Warehouse Address - For product returns" / Address Text <store address>		Utility	Supporting		
In Progress (v3)	S-012	Shipping & Returns	/shipping-returns	Shipping and returns policy	"H1: Shipping & Returns" / Subtitle <shipping timelines, customs, and how to return an order> // "H2: Where Do You Ship?" / Paragraph <ships worldwide from the Thailand warehouse> // "H2: When Will I Receive My Order?" / Paragraph <2-3 business days processing, then a shipping-confirmation email; Standard 7-14 days, Express 3-5 days> // "H2: About Customs & Duties" / Paragraph <import duties may apply per local customs; refusing customs and rejecting the package forfeits the refund> // "H2: Returns & Exchanges" / Paragraph <email the returns address with the order number, then mail the item back>		Utility	Supporting		
In Progress (v3)	S-013	Privacy Policy	/privacy-policy	Privacy policy	"H1: Privacy Policy" / Subtitle <how SHER collects, uses, and protects your data> // "H2: Information We Collect" / Paragraph <what data we collect> // "H2: How We Use Your Data" / Paragraph <how we use data> // "H2: Sharing with Third Parties" / Paragraph <third-party sharing> // "H2: Security" / Paragraph <how we protect data> // "H2: Cookies" / Paragraph <cookie use> // "H2: Your Rights" / Paragraph <user data rights>		Utility	Supporting		
In Progress (v3)	S-014	Terms of Service	/terms-of-service	Terms of service	"H1: Terms of Service" / Subtitle <the terms that govern using the SHER site and placing an order> // "H2: Overview" / Paragraph <terms overview> // "H2: Orders & Payment" / Paragraph <orders and payment terms> // "H2: Intellectual Property" / Paragraph <IP ownership> // "H2: Liability" / Paragraph <liability limits> // "H2: Governing Law" / Paragraph <governing jurisdiction>		Utility	Supporting		
v4	F-xxx	Multi-Currency		Local currency display driven by the /en-{country}/ URL; checkout always settles in USD	Country Selector <switches /en-{country}/ and its currency>	Shows prices in the {country} currency from the /en-{country}/ URL; the selector switches the locale prefix; checkout charges in USD since the payment provider is Stripe, not Shopify Payments or Adyen
v4	F-xxx	Rotating Announcement Bar		Site-wide rotating announcement bar with a country-based message	Messages <rotating notices; one shows the {Country} free-shipping threshold>	Rotates through messages; localizes the free-shipping threshold by country; messages come from D-xxx Home content
v4	F-xxx	Newsletter Signup & Popup		Email capture for the footer	"Join the List" / Subtitle <get first access to drops and offers> / (Email Input <email address> + Btn ["Subscribe"])	Email submit adds the address to the mailing list; shows a success message				
v4	F-xxx	Worn by Influencers		Social proof — influencers styling SHER; to be added to S-001 (Home)	"H2: Worn by Influencers" / Subtitle <influencers styling SHER> / Image Grid <influencer photos, 3x2>					
v4		Facet Corset Tops	/shop/corset-tops/[facet-color]	Color-filtered corset tops page targeting [color] corset top commercial queries	Breadcrumb <Shop › Corset Tops (to /shop/corset-tops) › {Color}> / "H1: {Color} Corset Tops" / Subtitle <{color} corset tops intro> // Button Pills <links to /shop/corset-tops/{color}> // View Toggle <grid columns> // Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: More about our {Color} Corset Tops" / Paragraph <more on {color} corset tops> / Btn <to /corset-tops>)	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/shop/corset-tops	{color} corset tops
v4		Facet Matching Sets	/shop/matching-sets/[facet-color]	Color-filtered matching sets page targeting [color] matching set commercial queries	Breadcrumb <Shop › Matching Sets (to /shop/matching-sets) › {Color}> / "H1: {Color} Matching Sets" / Subtitle <{color} matching sets intro> // Button Pills <links to /shop/matching-sets/{color}> // View Toggle <grid columns> // Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: More about our {Color} Matching Sets" / Paragraph <more on {color} matching sets> / Btn <to /matching-sets>)	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/shop/matching-sets	{color} matching sets
v4		Facet Cocktail Dresses	/shop/cocktail-dresses/[facet-color]	Color-filtered cocktail dresses page targeting [color] cocktail dress commercial queries	Breadcrumb <Shop › Cocktail Dresses (to /shop/cocktail-dresses) › {Color}> / "H1: {Color} Cocktail Dresses" / Subtitle <{color} cocktail dresses intro> // Button Pills <links to /shop/cocktail-dresses/{color}> // View Toggle <grid columns> // Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: More about our {Color} Cocktail Dresses" / Paragraph <more on {color} cocktail dresses> / Btn <to /cocktail-dresses>)	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/shop/cocktail-dresses	{color} cocktail dresses
v4		EN Home	/en-[country]/	Localized brand entry point with local currency pricing	(same as / + internal links prefixed with /en-{country}/, + prices in local currency)	Localised content | hreflang alternates | otherwise inherits Home (/)	Home	Pillar		
v4		EN Shop	/en-[country]/shop	Localized commerce landing page with local currency pricing	(same as /shop + prices in local currency, Category Filter links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /shop	Collection	Pillar		
v4		EN Shop Category	/en-[country]/shop/[category]	Localized commerce category page with local currency pricing	(same as /shop/[category] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /shop/[category]	Collection	Cluster	/en-[country]/corset-tops	
v4		EN Facet Corset Tops	/en-[country]/shop/corset-tops/[facet-color]	Localized color facet page with local currency pricing	(same as /shop/corset-tops/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /shop/corset-tops/[facet-color]	Collection	Cluster	/en-[country]/shop/corset-tops	
v4		EN Facet Matching Sets	/en-[country]/shop/matching-sets/[facet-color]	Localized color facet page with local currency pricing	(same as /shop/matching-sets/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /shop/matching-sets/[facet-color]	Collection	Cluster	/en-[country]/shop/matching-sets	
v4		EN Facet Cocktail Dresses	/en-[country]/shop/cocktail-dresses/[facet-color]	Localized color facet page with local currency pricing	(same as /shop/cocktail-dresses/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /shop/cocktail-dresses/[facet-color]	Collection	Cluster	/en-[country]/shop/cocktail-dresses	
v4		EN Corset Tops	/en-[country]/corset-tops	Localized corset tops pillar with country-specific shipping and sizing context	(same as /corset-tops with H1 prefixed by {Country}, internal links prefixed with /en-{country}/, + H2: Shipping to {Country} inserted before FAQ, + localized FAQ answers)	Localised content | hreflang alternates | otherwise inherits /corset-tops	Information	Pillar		
v4		EN Matching Sets	/en-[country]/matching-sets	Localized version of /matching-sets	(same as /matching-sets + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /matching-sets	Information	Pillar		
v4		EN Cocktail Dresses	/en-[country]/cocktail-dresses	Localized version of /cocktail-dresses	(same as /cocktail-dresses + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /cocktail-dresses	Information	Pillar		
v4		EN Product Detail	/en-[country]/products/[product-slug]	Localized product detail page with local currency pricing	(same as /products/[product-slug] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /products/[product-slug]	Product	Cluster	/en-[country]/{category}	
v4		EN About Us	/en-[country]/about	Locale-prefixed mirror of /about for hreflang reciprocity	(same as /about)	Localised content | hreflang alternates | otherwise inherits /about	Utility	Supporting		
v4		EN Contact	/en-[country]/contact	Locale-prefixed mirror of /contact for hreflang reciprocity	(same as /contact)	Localised content | hreflang alternates | otherwise inherits /contact	Utility	Supporting		
v4		EN Shipping & Returns	/en-[country]/shipping-returns	Locale-prefixed mirror of /shipping-returns for hreflang reciprocity	(same as /shipping-returns)	Localised content | hreflang alternates | otherwise inherits /shipping-returns	Utility	Supporting		
v4		EN Privacy Policy	/en-[country]/privacy-policy	Locale-prefixed mirror of /privacy-policy for hreflang reciprocity	(same as /privacy-policy)	Localised content | hreflang alternates | otherwise inherits /privacy-policy	Utility	Supporting		
v4		EN Terms of Service	/en-[country]/terms-of-service	Locale-prefixed mirror of /terms-of-service for hreflang reciprocity	(same as /terms-of-service)	Localised content | hreflang alternates | otherwise inherits /terms-of-service	Utility	Supporting		
v5	F-xxx	Wishlist		Saved items; heart icons			Feature			
v5	F-xxx	Live Chat		Chat or support widget			Feature			
v5	F-xxx	Share Product		Share icon on the Product Detail page			Feature			
v5		Journal	/journal	Editorial content hub			Utility	Supporting		
v5		Corset vs Bustier vs Bodice	/journal/corset-vs-bustier-vs-bodice	Comparison cluster			Blog	Cluster	/corset-tops	corset vs bustier
v5		How to Lace a Corset	/journal/how-to-lace-a-corset	How-to cluster			Blog	Cluster	/corset-tops	how to lace a corset
v5		Corset Fabrics Explained	/journal/corset-fabrics-explained	Material comparison cluster			Blog	Cluster	/corset-tops	silk vs satin corset
v5		Corset Fit Guide by Body Type	/journal/corset-fit-guide-by-body-type	Body-type sizing cluster			Blog	Cluster	/corset-tops	corset fit by body type
v5		How to Wear a Corset	/journal/how-to-wear-a-corset	Styling pillar for outfit and occasion queries			Blog	Pillar		how to wear a corset
v5		How to Wear a Corset with Jeans	/journal/how-to-wear-a-corset-with-jeans	Casual styling cluster			Blog	Cluster	/journal/how-to-wear-a-corset	corset with jeans
v5		Corset Top for Everyday	/journal/corset-top-for-everyday	Everyday wear cluster			Blog	Cluster	/journal/how-to-wear-a-corset	everyday corset top
v5		What to Wear Under a Corset	/journal/what-to-wear-under-a-corset	Layering cluster			Blog	Cluster	/journal/how-to-wear-a-corset	what to wear under a corset
v5		Bridal Corset Guide	/journal/bridal-corset-guide	Wedding pillar for bridal queries			Blog	Pillar		bridal corset
v5		Corset for Bridesmaids	/journal/corset-for-bridesmaids	Wedding party cluster			Blog	Cluster	/journal/bridal-corset-guide	bridesmaid corset
v5		EN Journal Article	/en-[country]/journal/[slug]	Localized journal article template covering all journal slugs	(same as corresponding /journal/[slug] + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /journal/[slug]	Blog	Cluster	/en-[country]/corset-tops	
Backlog	F-xxx	Search		Keyword search bar			Feature			
Backlog	F-xxx	Reviews		Product reviews and ratings			Feature			
